"","Row.names","Kingdom","Phylum","Class","Order","Family","Genus","Species","taxon","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6","beta","direct","group","Study"
"75","8ada693664fde2b0ea99df4da8ee36bf","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356","uncultured_bacterium","8ada693664fde2b0ea99df4da8ee36bf",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"76","8c29c0ac4bed029ebbeb22b3935cc8bb","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"8c29c0ac4bed029ebbeb22b3935cc8bb",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"77","8daf31d6aa9722efd38dde721253b3d0","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","uncultured_bacterium","8daf31d6aa9722efd38dde721253b3d0",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"78","8ef45ad4f5c8a05a95ded8e691c668e0","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group","uncultured_bacterium","8ef45ad4f5c8a05a95ded8e691c668e0",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"79","8f98fb8693ed59c21399d83ce2d10724","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"8f98fb8693ed59c21399d83ce2d10724",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"80","91a8a73d855590a8ec98d20be7ceea97","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","uncultured","unidentified","91a8a73d855590a8ec98d20be7ceea97",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"81","9311a55bb590562981e05ce2805b2b1c","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"9311a55bb590562981e05ce2805b2b1c",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"82","a1d94686c329d9a7bc674627e2180285","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_FCS020_group","mouse_gut","a1d94686c329d9a7bc674627e2180285",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"83","a2772eb2eac891e3120792dfc64d466c","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_Barnesiella","a2772eb2eac891e3120792dfc64d466c",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"84","a7220f7270c65a9457a801ce372d5611","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae",NA,"a7220f7270c65a9457a801ce372d5611",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"85","a8755d2daad093cbe6c9c04b7927bbbd","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","a8755d2daad093cbe6c9c04b7927bbbd",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"86","addf1e3d60f6910392223e40dcfa898b","d__Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","uncultured_bacterium","addf1e3d60f6910392223e40dcfa898b",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"87","b07e81a9d95bb89a8b08afb8f0dc1493","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"b07e81a9d95bb89a8b08afb8f0dc1493",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
